design_id,K,n,t_up,t_down,alpha,delay_kd,dynamic_range,t10_90,t50,overshoot
D0064,0.17577130668009447,1.4010856449173028,8.64651180096963,0.4749162874275565,0.04556651842903505,4.879178403861241,0.8750133806110154,43.12616106378631,23.317580049627974,0.8568083781694052
D0065,0.5364075344701892,1.0540230630380918,12.657288073931309,0.544446249868727,0.03605746589052931,1.7906996902335315,0.5743431263755654,48.915913579513685,27.999011651746045,0.5500705100682768
D0066,0.07005522306318426,1.5857650684089306,8.13875693900241,0.26936168822810214,0.053032646685241706,2.5636209643037478,0.9612279180253044,38.526030862869945,16.902107890122725,0.9491272409897422
D0067,0.3755146624554484,1.6823346191653568,12.275548256238636,1.0017417245236677,0.04262552837357296,0.7543338825304684,0.7657982385403252,45.955625909205764,25.28917631563916,0.7400885895227133
D0068,0.452103610107109,1.7310838246311353,4.998481959949394,0.6188791214044183,0.04792385433211846,3.5586552225459003,0.7647538927785776,41.604125223505115,22.335291120068554,0.7500964097731865
D0069,0.09697405178507053,3.3277434685427245,8.253778809075229,1.0513493382201817,0.04127152141847303,4.605216346656645,0.945076201918546,43.80366636459192,21.608755666895263,0.925128023424191
D0070,0.5688841646149745,0.9086063635017005,12.109198439356046,0.8305356131442478,0.044746413662291484,0.7612644878186451,0.576705419959771,46.606457348428414,23.688202971933805,0.5588895342384916
D0071,0.4351065950669719,2.5798442404907114,11.900499327474689,0.5497099791353361,0.03359891575054892,3.880119508196792,0.7648596250266742,47.07939904333156,32.55434456816379,0.7289406466743793
D0072,0.26754842276585833,1.7112415541877462,10.06775364067217,0.20532202273503966,0.032921261209961,4.893595868058842,0.7948682354216966,48.236022017488224,29.179339847617214,0.7644515397139333
D0073,0.5864740729551897,3.0148698366373594,8.268149486602319,0.5454741320025666,0.036205896111433204,0.8867443969569144,0.7332456639768534,45.87680428983567,28.679921164254733,0.7024611116818115
D0074,0.5384042208538502,1.50822453313803,10.802706521653608,0.2240967871509012,0.037515230147637156,2.5721101724907918,0.634268616036362,47.59798539582612,29.15892185752898,0.6083701469887713
D0075,0.27348224831272766,1.3770869672702424,11.057434315356662,0.23534320995252606,0.0453960837631528,3.141515612179924,0.803487226323545,44.59960254385469,24.316767020292644,0.7827783746553122
D0076,0.36544701733723894,1.307060744304216,9.850667866230838,0.8667620129731062,0.044438639313500714,3.219238918538631,0.7364027048976407,45.07098324467627,25.090747621401306,0.7163182076299643
D0077,0.3801975254077561,2.004462930032136,9.162945787819979,0.6697893589982844,0.03839335292367751,4.349316141005408,0.7932179175820904,46.15577437203723,28.357584729974732,0.7665336120832782
D0078,0.2512937353002198,1.0827684413748693,9.628824721100887,1.0021789947817648,0.03467166255793466,0.8724891131215495,0.7296862269539384,48.28503930104402,23.798848395666468,0.7041735666252278
D0079,0.23708215172155944,1.556226810271811,5.15429396038774,0.43745032793867633,0.04137474615218754,1.6938220500002403,0.8506318573787748,44.26880888635096,20.32720179663968,0.8311233848493064
D0080,0.3714738860502208,1.933618488441381,7.430401401050266,0.2740903912606968,0.04849200712494227,3.385230464409067,0.8321284839889235,42.06944125553662,23.393241570409064,0.8146897775015001
D0081,0.3870055652604313,1.6664416331930836,13.158023889681614,0.8810853313566402,0.05013524126455612,3.124716470523345,0.775100751465771,44.28046958342458,26.615347739377636,0.7530340677658842
D0082,0.426321105662828,2.7141048348821983,6.355221930619342,0.41530184944777726,0.04874480775989384,2.0895297452847217,0.8708068212083224,41.160389289918626,22.052953211227308,0.8532275913164789
D0083,0.05240523517022354,2.0799418428233314,11.863024512452036,0.57894134104991,0.04435652129604838,4.5806157065487,0.9537835579591947,42.48004384786935,20.720195025711718,0.9362025276291656
D0084,0.1304944742297048,1.3148293757841794,3.850302680877731,0.5132206155546428,0.03502410573135717,3.18664302104774,0.8561586631381389,47.207338347344894,22.22839902490152,0.832252308120811
