plasmid,exp,rep,time,mean_BFP,var_BFP,cv2_BFP,mean_mCherry,var_mCherry,cv2_mCherry,n_cells
SP428,KD,R3,3.0,773.3063354492188,658014.0,1.1003529126433509,1515.60107421875,368378.21875,0.16037037130910856,5745
SP428,KD,R3,6.0,1130.4219970703125,1519622.0,1.189198554040677,1359.514892578125,369528.0625,0.1999306998523804,3100
SP428,KD,R3,8.0,1225.199951171875,2041724.25,1.360138535910244,1346.1300048828125,417271.65625,0.23027398480088093,2295
SP428,KD,R3,25.0,1805.3026123046875,2362785.25,0.7249770019199254,576.8041381835938,142319.796875,0.4277682827049838,5733
SP428,KD,R3,50.0,1887.182861328125,3026632.25,0.8498292752349382,261.2442626953125,71157.1171875,1.042617048507617,2718
SP428,KD,R3,100.0,1763.185791015625,1991129.625,0.640476765300021,351.4591064453125,190887.28125,1.54535190337151,5441
SP428,KD,R3,150.0,1756.414794921875,1891177.0,0.613024743263842,321.70318603515625,166595.15625,1.609724841159693,3035
SP428,Rev,R1,0.0,2161.9453125,2826655.5,0.6047605784313698,333.6322326660156,163296.796875,1.4670390103895583,11202
SP428,Rev,R1,1.0,779.8013916015625,1358465.0,2.2339859726274893,284.4803466796875,152777.8125,1.8877989941315292,9082
SP428,Rev,R1,3.0,372.994384765625,662020.8125,4.758466929257295,221.59986877441406,89010.59375,1.8126030243102709,3154
SP428,Rev,R1,6.0,273.2056579589844,1072193.625,14.364610100958629,207.49493408203125,98138.6953125,2.2794248783039266,2119
SP428,Rev,R1,25.0,327.3966369628906,45238.7890625,0.4220486771263344,472.961181640625,202923.78125,0.9071559458812086,2411
SP428,Rev,R1,50.0,199.1605682373047,45834.859375,1.1555511917588235,1028.5296630859375,356601.5625,0.33709289509275003,4096
SP428,Rev,R1,100.0,245.8805389404297,63092.01171875,1.0435807574737241,1176.343017578125,263423.9375,0.1903650771019861,5715
SP428,Rev,R1,150.0,344.7420654296875,79700.4375,0.6706132760639293,1043.8348388671875,205547.734375,0.1886466592950442,3736
SP428,Rev,R2,0.0,2026.5928955078125,2614323.25,0.6365408116438722,308.7127990722656,150683.5,1.581089404355598,10259
SP428,Rev,R2,1.0,910.5927124023438,1669570.625,2.0135223492769807,278.47674560546875,144346.3125,1.8613490581463121,9047
SP428,Rev,R2,3.0,324.3027038574219,562280.5625,5.346282845762881,236.00648498535156,113777.8828125,2.0427253325533563,3335
SP428,Rev,R2,6.0,242.653564453125,222679.109375,3.7818658987631846,180.39678955078125,84308.4296875,2.5906777289914427,1678
SP428,Rev,R2,25.0,309.6640625,50998.15234375,0.5318299952216222,490.2034912109375,219103.953125,0.9117954346471466,3409
SP428,Rev,R2,50.0,206.8101043701172,44462.2265625,1.0395555461417831,972.9872436523438,356172.3125,0.37622345122443085,4080
SP428,Rev,R2,100.0,233.83462524414062,47518.65625,0.8690534957439344,1006.5799560546875,278399.5625,0.27477169468155066,5004
SP428,Rev,R2,150.0,344.49871826171875,109315.8984375,0.921102810940829,997.4899291992188,226896.484375,0.22803983990728577,4118
SP428,Rev,R3,0.0,2026.457275390625,2667800.0,0.6496483872856982,292.24346923828125,147094.5,1.722292081356706,9595
SP428,Rev,R3,1.0,990.5642700195312,1603863.375,1.6345644626318956,264.9511413574219,134679.9375,1.9185420252108616,9019
SP428,Rev,R3,3.0,314.96063232421875,293337.40625,2.9570243457582954,214.3098907470703,101626.0859375,2.2126910007808207,2798
SP428,Rev,R3,6.0,311.5736083984375,371287.5625,3.82462688347991,193.638916015625,79350.734375,2.116243634521716,1608
SP428,Rev,R3,25.0,326.2366943359375,41760.97265625,0.39237830748445435,523.9392700195312,254307.359375,0.9263967589962263,4165
SP428,Rev,R3,50.0,229.73023986816406,46103.33203125,0.8735665223944544,1048.0325927734375,348263.25,0.31707213035188037,4758
SP428,Rev,R3,100.0,265.24365234375,64827.171875,0.9214400331761822,1098.1400146484375,251154.4375,0.2082693789831391,4548
SP428,Rev,R3,150.0,347.0621032714844,88928.2421875,0.7382871662959297,964.8779907226562,202343.5,0.21734239963228674,4186
SP430,KD,R1,0.0,273.6708984375,32291.353515625,0.43115061833530016,1666.09228515625,389024.78125,0.14014550098648904,13266
SP430,KD,R1,3.0,1040.020751953125,1616532.25,1.4945152921643108,1697.2220458984375,367865.09375,0.12770598507971218,5692
SP430,KD,R1,6.0,1823.50341796875,5182804.0,1.558660831472304,1628.28564453125,428233.15625,0.1615173206973766,2344
SP430,KD,R1,8.0,1795.0899658203125,4543634.5,1.4100384317902332,1478.13232421875,414006.0625,0.18948728448310478,1595
SP430,KD,R1,25.0,1605.1929931640625,1834529.875,0.7119840718209222,829.8209228515625,173861.015625,0.2524837609052057,5182
SP430,KD,R1,50.0,2560.683349609375,5859707.5,0.8936432568898505,489.7608642578125,119039.8828125,0.4962772115759015,2947
SP430,KD,R1,100.0,2702.956298828125,7193654.5,0.9846265162537382,655.5110473632812,165951.359375,0.38620757143850587,5011
SP430,KD,R1,150.0,1545.7030029296875,2303709.75,0.9642189423485868,495.28497314453125,135267.953125,0.5514226674793681,3559
SP430,KD,R2,0.0,282.2931823730469,34363.9453125,0.43122332094884663,1638.6605224609375,368468.5625,0.13722159335638806,13807
SP430,KD,R2,3.0,1278.17919921875,2433877.0,1.4897559729111856,1590.33642578125,374703.0625,0.14815258378337268,5535
SP430,KD,R2,6.0,1996.374755859375,5493223.0,1.378297887807967,1405.42236328125,398723.78125,0.20186378848041825,2504
SP430,KD,R2,8.0,1920.7994384765625,5181776.5,1.4044770175243693,1420.884521484375,377861.0625,0.18716066296750689,1703
SP430,KD,R2,25.0,1544.5673828125,1967300.0,0.8246257138862757,914.6590576171875,184426.359375,0.22044716312726342,6426
SP430,KD,R2,50.0,2742.25927734375,6464291.5,0.859614838110807,599.0357055664062,127752.8515625,0.35601244862897613,4965
SP430,KD,R2,100.0,2628.981201171875,5504072.5,0.796359535350612,719.5860595703125,195032.109375,0.37665231012418027,4161
SP430,KD,R2,150.0,1634.9078369140625,2478822.75,0.9273825549496942,535.967529296875,132055.265625,0.45970450966193055,4284
